id,price
0,1291
1,6490
2,1629
3,3896
4,1655
5,9321
6,736
7,958
8,768
9,14397
10,415
11,909
12,1141
13,1763
14,1585
15,3217
16,1340
17,1027
18,2916
19,1755
20,5833
21,5831
22,3227
23,14902
24,677
25,5383
26,1269
27,9661
28,450
29,760
30,7291
31,643
32,613
33,859
34,1850
35,17402
36,920
37,502
38,1031
39,1766
40,3665
41,5852
42,6381
43,2478
44,8057
45,6155
46,5582
47,2470
48,2795
49,4357
50,675
51,5102
52,927
53,10540
54,812
55,8027
56,505
57,621
58,689
59,2401
60,778
61,956
62,407
63,4855
64,3315
65,936
66,505
67,756
68,810
69,614
70,1929
71,10923
72,749
73,1544
74,3684
75,1678
76,951
77,9354
78,2757
79,2351
80,937
81,3080
82,9206
83,563
84,806
85,1050
86,2263
87,1271
88,2727
89,6672
90,1318
91,1677
92,809
93,5642
94,1206
95,423
96,723
97,10393
98,612
99,5837
100,6008
101,9752
102,4503
103,16699
104,13692
105,545
106,534
107,509
108,4957
109,1998
110,4066
111,5914
112,3955
113,688
114,7573
115,1720
116,1471
117,970
118,1277
119,2511
120,1785
121,1980
122,13131
123,11678
124,8677
125,831
126,652
127,872
128,3159
129,663
130,4135
131,2569
132,10263
133,815
134,2404
135,730
136,7963
137,15972
138,1218
139,4084
140,2165
141,4479
142,1751
143,10988
144,3510
145,1365
146,860
147,2147
148,2157
149,1916
150,6658
151,4348
152,2607
153,1362
154,1161
155,793
156,1765
157,1639
158,1024
159,2313
160,1798
161,2417
162,1591
163,850
164,653
165,4675
166,633
167,1181
168,17754
169,2478
170,3580
171,1360
172,578
173,2253
174,7607
175,4327
176,4599
177,4952
178,4870
179,1263
180,13652
181,671
182,10742
183,1635
184,1075
185,7134
186,896
187,2628
188,1991
189,702
190,4115
191,600
192,2481
193,10378
194,2157
195,1183
196,13115
197,748
198,764
199,796
200,4294
201,2554
202,887
203,884
204,4891
205,2305
206,15568
207,13211
208,3844
209,742
210,5587
211,2248
212,3497
213,2908
214,976
215,5957
216,1947
217,695
218,4748
219,659
220,1822
221,1775
222,1256
223,15625
224,2169
225,1399
226,2851
227,4281
228,737
229,5703
230,8142
231,3131
232,818
233,604
234,1414
235,1631
236,2239
237,831
238,743
239,8758
240,1389
241,4135
242,8291
243,9159
244,859
245,2249
246,13659
247,4241
248,412
249,935
250,2545
251,759
252,984
253,2744
254,13878
255,8682
256,14970
257,772
258,6292
259,427
260,710
261,8890
262,10592
263,2079
264,828
265,2148
266,763
267,500
268,990
269,3238
270,1652
271,2215
272,3759
273,3885
274,1024
275,456
276,1053
277,760
278,3941
279,4564
280,1016
281,595
282,2350
283,1091
284,647
285,15004
286,547
287,10106
288,14192
289,736
290,778
291,992
292,1096
293,2600
294,5170
295,939
296,7270
297,4242
298,3147
299,1723
300,1007
301,605
302,488
303,2799
304,4675
305,14535
306,4284
307,4829
308,966
309,5102
310,1240
311,681
312,3503
313,2250
314,4164
315,1854
316,6619
317,16935
318,14167
319,1205
320,13194
321,6077
322,9775
323,838
324,561
325,15766
326,958
327,1088
328,2430
329,967
330,2362
331,1456
332,885
333,694
334,2493
335,910
336,676
337,835
338,2546
339,3827
340,6670
341,12720
342,816
343,1966
344,1684
345,3890
346,2287
347,1131
348,10832
349,10445
350,6517
351,2649
352,1125
353,2386
354,957
355,2557
356,906
357,3433
358,3423
359,2986
360,750
361,751
362,1877
363,824
364,623
365,3981
366,507
367,1093
368,1930
369,2647
370,885
371,2524
372,556
373,1092
374,633
375,4713
376,719
377,674
378,5040
379,3228
380,856
381,1799
382,15848
383,483
384,1138
385,801
386,6411
387,791
388,5919
389,7122
390,935
391,17309
392,9575
393,3869
394,1932
395,1692
396,4975
397,2341
398,2406
399,1826
400,1895
401,1758
402,2541
403,1030
404,887
405,1997
406,690
407,814
408,598
409,6837
410,6672
411,1154
412,986
413,1660
414,17671
415,4197
416,966
417,1320
418,796
419,4775
420,729
421,487
422,5758
423,8194
424,2277
425,3892
426,3816
427,2134
428,1872
429,614
430,735
431,949
432,4077
433,1091
434,5762
435,2379
436,829
437,2453
438,5099
439,991
440,5998
441,4060
442,528
443,1964
444,1334
445,2000
446,1357
447,16187
448,1311
449,889
450,1383
451,11186
452,879
453,461
454,7379
455,4643
456,817
457,4328
458,4529
459,1144
460,2517
461,1750
462,731
463,5268
464,6847
465,3749
466,5074
467,2990
468,476
469,561
470,5144
471,10460
472,9021
473,13246
474,1690
475,7491
476,5045
477,2076
478,809
479,8753
480,2127
481,4940
482,1204
483,517
484,4195
485,479
486,765
487,475
488,2854
489,1928
490,799
491,740
492,1887
493,15919
494,8995
495,582
496,2282
497,1499
498,12970
499,870
500,2711
501,2099
502,1718
503,3934
504,3315
505,8007
506,651
507,17204
508,996
509,6306
510,2384
511,2891
512,2281
513,597
514,5031
515,458
516,7542
517,2618
518,8795
519,6324
520,4741
521,896
522,648
523,4331
524,8982
525,915
526,789
527,645
528,882
529,959
530,3973
531,6027
532,5773
533,9889
534,1894
535,1707
536,567
537,4396
538,395
539,10273
540,3184
541,1829
542,3527
543,1369
544,969
545,5047
546,6082
547,1140
548,4512
549,5118
550,15238
551,3233
552,4091
553,1890
554,3781
555,1080
556,2108
557,558
558,3457
559,5018
560,647
561,3179
562,8303
563,813
564,1382
565,10478
566,2200
567,969
568,2094
569,3176
570,664
571,589
572,9952
573,2030
574,1940
575,741
576,440
577,2462
578,7388
579,6218
580,1011
581,8758
582,599
583,1835
584,934
585,5515
586,12066
587,743
588,1094
589,782
590,3744
591,4570
592,4927
593,4170
594,752
595,534
596,4454
597,617
598,1488
599,7015
600,911
601,701
602,2793
603,5050
604,2268
605,1529
606,6786
607,5471
608,14061
609,781
610,10637
611,17293
612,4954
613,1294
614,678
615,10503
616,2502
617,567
618,1804
619,566
620,5331
621,4546
622,15974
623,643
624,817
625,16547
626,13585
627,6378
628,6226
629,1253
630,2858
631,13661
632,1124
633,987
634,648
635,3817
636,4481
637,3164
638,4425
639,1135
640,12175
641,5937
642,605
643,10239
644,13854
645,4104
646,3316
647,7161
648,2729
649,5419
650,3060
651,1782
652,713
653,1328
654,779
655,2428
656,7975
657,3477
658,628
659,5334
660,431
661,614
662,1962
663,610
664,4064
665,9379
666,5184
667,6493
668,1801
669,976
670,10241
671,1032
672,8526
673,5362
674,771
675,617
676,7087
677,4458
678,693
679,729
680,1584
681,719
682,982
683,6720
684,16828
685,11858
686,1388
687,2334
688,4638
689,1304
690,1410
691,5156
692,2773
693,10320
694,2196
695,554
696,4020
697,6418
698,698
699,868
700,2500
701,1107
702,5251
703,1297
704,17411
705,9820
706,918
707,5946
708,986
709,4479
710,4405
711,7831
712,733
713,876
714,675
715,835
716,6864
717,1972
718,4921
719,998
720,731
721,9369
722,4282
723,1712
724,776
725,935
726,3599
727,7283
728,5483
729,5469
730,9638
731,4667
732,863
733,2100
734,8207
735,4680
736,1457
737,1753
738,810
739,5231
740,627
741,843
742,2550
743,4465
744,11174
745,801
746,8294
